#,Company,Ticker,Weight,Price,Company Name,Market Cap,Revenue,Op. Income,Net Income,EPS,FCF,Sector,Industry,Long Name
375,Tyson Foods,TSN,0.0003,55.98,"Tyson Foods, Inc.",19223956311.0,54146000000.0,1465000000.0,784000000.0,2.2,1550000000.0,Consumer Defensive,Farm Products,"Tyson Foods, Inc."
376,"Trimble Inc,",TRMB,0.0003,83.64,Trimble Inc.,19332609115.0,3575500000.0,515200000.0,286700000.0,1.16,287100000.0,Technology,Scientific & Technical Instruments,Trimble Inc.
377,GoDaddy,GDDY,0.0003,143.42,GoDaddy Inc.,19576691004.0,4752100000.0,1305400000.0,808500000.0,5.6,1453200000.0,Technology,Software - Infrastructure,GoDaddy Inc.
378,Loews Corporation,L,0.0003,95.43,Loews Corporation,20804867419.0,18061000000.0,2205000000.0,1349000000.0,6.3,3071000000.0,Financial Services,Insurance - Property & Casualty,Loews Corporation
379,Biogen,BIIB,0.0003,134.71,Biogen Inc.,20140447327.0,9997000000.0,1797700000.0,1530500000.0,10.46,1832300000.0,Healthcare,Drug Manufacturers - General,Biogen Inc.
380,Gen Digital,GEN,0.0003,31.75,Gen Digital Inc.,17737030454.0,4227000000.0,1639000000.0,597000000.0,0.97,1358000000.0,Technology,Software - Infrastructure,Gen Digital Inc.
381,First Solar,FSLR,0.0003,180.6,"First Solar, Inc.",23596628173.0,4343437000.0,1361619000.0,1257475000.0,11.7,-942701000.0,Technology,Solar,"First Solar, Inc."
382,Erie Indemnity,ERIE,0.0003,367.24,Erie Indemnity Company,14595283597.0,3973472000.0,697984000.0,624961000.0,11.96,564035000.0,Financial Services,Insurance Brokers,Erie Indemnity Company
383,Genuine Parts Company,GPC,0.0003,137.26,Genuine Parts Company,19151617961.0,23770865000.0,1175927000.0,808910000.0,5.81,319773000.0,Consumer Cyclical,Auto Parts,Genuine Parts Company
384,Weyerhaeuser,WY,0.0003,26.29,Weyerhaeuser Company,17705879940.0,7036000000.0,576000000.0,279000000.0,0.38,269000000.0,Real Estate,REIT - Specialty,Weyerhaeuser Company
385,McCormick & Company,MKC,0.0003,70.13,"McCormick & Company, Incorporated",17640343697.0,6742800000.0,1063700000.0,702400000.0,2.87,551800000.0,Consumer Defensive,Packaged Foods,"McCormick & Company, Incorporated"
386,Steel Dynamics,STLD,0.0003,127.04,"Steel Dynamics, Inc.",20554176762.0,17148071000.0,1290938000.0,1040972000.0,6.88,-107428000.0,Basic Materials,Steel,"Steel Dynamics, Inc."
387,Invitation Homes,INVH,0.0003,30.3,Invitation Homes Inc.,17887579860.0,2675332000.0,939849000.0,545011000.0,0.88,505414000.0,Real Estate,REIT - Residential,Invitation Homes Inc.
388,Gartner,IT,0.0003,244.23,"Gartner, Inc.",20001066102.0,6420009000.0,1168747000.0,1265344000.0,16.24,1511672000.0,Technology,Information Technology Services,"Gartner, Inc."
389,"F5, Inc,",FFIV,0.0003,318.99,"F5, Inc.",18662862118.0,3024656000.0,751321000.0,667183000.0,11.35,954924000.0,Technology,Software - Infrastructure,"F5, Inc."
390,Coterra,CTRA,0.0003,23.95,Coterra Energy Inc.,18185625533.0,6623000000.0,2063000000.0,1576000000.0,2.09,1492000000.0,Energy,Oil & Gas E&P,Coterra Energy Inc.
391,Halliburton,HAL,0.0003,21.1,Halliburton Company,21408838781.0,22234000000.0,2961000000.0,1862000000.0,2.14,2353000000.0,Energy,Oil & Gas Equipment & Services,Halliburton Company
392,Teradyne,TER,0.0003,111.79,"Teradyne, Inc.",21524239615.0,2827659000.0,517196000.0,469170000.0,2.89,568899000.0,Technology,Semiconductor Equipment & Materials,"Teradyne, Inc."
393,Packaging Corporation of America,PKG,0.0003,197.42,Packaging Corporation of America,19430918189.0,8640800000.0,1239400000.0,904500000.0,10.02,625400000.0,Consumer Cyclical,Packaging & Containers,Packaging Corporation of America
394,Ralph Lauren Corporation,RL,0.0003,293.17,Ralph Lauren Corporation,18897312584.0,7285900000.0,997200000.0,794700000.0,12.53,763800000.0,Consumer Cyclical,Apparel Manufacturing,Ralph Lauren Corporation
395,Jacobs Solutions,J,0.0003,148.44,Jacobs Solutions Inc.,17674662306.0,11835289000.0,848285000.0,492524000.0,4.01,420515000.0,Industrials,Engineering & Construction,Jacobs Solutions Inc.
396,West Pharmaceutical Services,WST,0.0003,245.65,"West Pharmaceutical Services, Inc.",18805203634.0,2960200000.0,581600000.0,487700000.0,6.68,344000000.0,Healthcare,Medical Instruments & Supplies,"West Pharmaceutical Services, Inc."
397,Pentair,PNR,0.0003,106.58,Pentair plc,17993094549.0,4099800000.0,795800000.0,609400000.0,3.66,837700000.0,Industrials,Specialty Industrial Machinery,Pentair plc
398,Waters Corporation,WAT,0.0003,293.5,Waters Corporation,17363783962.0,3046056000.0,843353000.0,661393000.0,11.09,619355000.0,Healthcare,Diagnostics & Research,Waters Corporation
399,Principal Financial Group,PFG,0.0003,77.93,"Principal Financial Group, Inc.",18405128595.0,15130800000.0,1350600000.0,1139700000.0,4.92,4302500000.0,Financial Services,Asset Management,"Principal Financial Group, Inc."
400,LyondellBasell,LYB,0.0003,53.19,LyondellBasell Industries N.V.,15905514814.0,35154000000.0,542000000.0,255000000.0,0.78,463000000.0,Basic Materials,Specialty Chemicals,LyondellBasell Industries N.V.
401,Snap-on,SNA,0.0003,326.15,Snap-on Incorporated,17835178179.0,5070900000.0,1296700000.0,1000000000.0,18.75,1024400000.0,Industrials,Tools & Accessories,Snap-on Incorporated
402,Incyte,INCY,0.0003,86.37,Incyte Corporation,16149337192.0,4584996000.0,1183080000.0,870870000.0,4.33,958083000.0,Healthcare,Biotechnology,Incyte Corporation
403,International Flavors & Fragrances,IFF,0.0003,65.69,International Flavors & Fragrances Inc.,15561751558.0,11303000000.0,-424000000.0,-393000000.0,-1.55,570000000.0,Basic Materials,Specialty Chemicals,International Flavors & Fragrances Inc.
404,Evergy,EVRG,0.0003,72.92,"Evergy, Inc.",17047604108.0,5880300000.0,1485100000.0,840100000.0,3.64,-138200000.0,Utilities,Utilities - Regulated Electric,"Evergy, Inc."
405,Alliant Energy,LNT,0.0003,64.81,Alliant Energy Corporation,16977941830.0,4146000000.0,1014000000.0,832000000.0,3.25,-1061000000.0,Utilities,Utilities - Regulated Electric,Alliant Energy Corporation
406,Zebra Technologies,ZBRA,0.0003,327.52,Zebra Technologies Corporation,15241850915.0,5190000000.0,794000000.0,548000000.0,10.59,853000000.0,Technology,Communication Equipment,Zebra Technologies Corporation
407,"Dow Inc,",DOW,0.0003,23.31,Dow Inc.,16275061707.0,41819000000.0,289000000.0,-981000000.0,-1.4,-1790000000.0,Basic Materials,Chemicals,Dow Inc.
408,Essex Property Trust,ESS,0.0003,255.71,"Essex Property Trust, Inc.",17247397092.0,1839583000.0,557280000.0,800349000.0,12.44,-237346000.0,Real Estate,REIT - Residential,"Essex Property Trust, Inc."
409,Mid-America Apartment Communities,MAA,0.0003,139.97,"Mid-America Apartment Communities, Inc.",16339618731.0,2200155000.0,636044000.0,567953000.0,4.86,355878000.0,Real Estate,REIT - Residential,"Mid-America Apartment Communities, Inc."
410,Bunge Global,BG,0.0003,81.48,Bunge Global SA,16399083615.0,50862000000.0,1502000000.0,1378000000.0,9.91,-536000000.0,Consumer Defensive,Farm Products,Bunge Global SA
411,Expeditors International,EXPD,0.0003,120.06,"Expeditors International of Washington, Inc.",16535944477.0,11273140000.0,1116222000.0,852821000.0,6.12,810153000.0,Industrials,Integrated Freight & Logistics,"Expeditors International of Washington, Inc."
412,Fortive,FTV,0.0003,47.84,Fortive Corporation,16419462823.0,6147900000.0,1058400000.0,768900000.0,2.22,1438000000.0,Technology,Scientific & Technical Instruments,Fortive Corporation
413,Aptiv,APTV,0.0003,74.15,Aptiv PLC,18775250904.0,19794000000.0,1916000000.0,1013000000.0,4.43,1663000000.0,Consumer Cyclical,Auto Parts,Aptiv PLC
414,Southwest Airlines,LUV,0.0003,30.62,Southwest Airlines Co.,17084356174.0,27472000000.0,318000000.0,392000000.0,0.66,-263000000.0,Industrials,Airlines,Southwest Airlines Co.
415,TKO Group Holdings,TKO,0.0003,191.7,"TKO Group Holdings, Inc.",16348525789.0,3900711000.0,827802000.0,210914000.0,2.43,806520000.0,Communication Services,Entertainment,"TKO Group Holdings, Inc."
416,Hormel Foods,HRL,0.0003,28.34,Hormel Foods Corporation,13592098937.0,12058590000.0,956459000.0,754530000.0,1.37,627870000.0,Consumer Defensive,Packaged Foods,Hormel Foods Corporation
417,Masco,MAS,0.0003,73.47,Masco Corporation,14747574520.0,7663000000.0,1346000000.0,805000000.0,3.77,871000000.0,Industrials,Building Products & Equipment,Masco Corporation
418,Deckers Brands,DECK,0.0003,103.41,Deckers Outdoor Corporation,15690277399.0,5124803000.0,1211572000.0,989669000.0,6.52,891608000.0,Consumer Cyclical,Footwear & Accessories,Deckers Outdoor Corporation
419,Domino's,DPZ,0.0003,449.32,"Domino's Pizza, Inc.",14793242326.0,4781233000.0,907622000.0,597110000.0,17.22,613174000.0,Consumer Cyclical,Restaurants,"Domino's Pizza, Inc."
420,Builders FirstSource,BLDR,0.0003,137.97,"Builders FirstSource, Inc.",13066647244.0,15944360000.0,1227897000.0,756362000.0,6.61,1211954000.0,Industrials,Building Products & Equipment,"Builders FirstSource, Inc."
421,Best Buy,BBY,0.0003,72.08,"Best Buy Co., Inc.",15999211330.0,41598000000.0,1037000000.0,778000000.0,3.63,1352000000.0,Consumer Cyclical,Specialty Retail,"Best Buy Co., Inc."
422,Hologic,HOLX,0.0003,68.01,"Hologic, Inc.",14948799943.0,4038900000.0,707400000.0,557100000.0,2.4,916700000.0,Healthcare,Medical Instruments & Supplies,"Hologic, Inc."
423,Clorox,CLX,0.0003,121.3,The Clorox Company,15214068007.0,7104000000.0,1284000000.0,810000000.0,6.52,761000000.0,Consumer Defensive,Household & Personal Products,The Clorox Company
424,Omnicom Group,OMC,0.0003,75.54,Omnicom Group Inc.,14926348597.0,15910800000.0,2177200000.0,1379200000.0,6.98,1767100000.0,Communication Services,Advertising Agencies,Omnicom Group Inc.
425,Cooper Companies (The),COO,0.0003,73.28,"The Cooper Companies, Inc.",13476356858.0,4045700000.0,740900000.0,407800000.0,2.04,411900000.0,Healthcare,Medical Instruments & Supplies,"The Cooper Companies, Inc."
426,Ball Corporation,BALL,0.0003,53.64,Ball Corporation,13465927325.0,12397000000.0,978000000.0,556000000.0,2.08,376000000.0,Consumer Cyclical,Packaging & Containers,Ball Corporation
427,Allegion,ALLE,0.0002,167.77,Allegion plc,15023999465.0,3876600000.0,815700000.0,626200000.0,7.21,682300000.0,Industrials,Security & Protection Services,Allegion plc
428,Textron,TXT,0.0002,80.51,Textron Inc.,14878360080.0,14062000000.0,1037000000.0,816000000.0,4.43,569000000.0,Industrials,Aerospace & Defense,Textron Inc.
429,"C,H, Robinson",CHRW,0.0002,121.32,"C.H. Robinson Worldwide, Inc.",15565596063.0,17012580000.0,756690000.0,534308000.0,4.4,640926000.0,Industrials,Integrated Freight & Logistics,"C.H. Robinson Worldwide, Inc."
430,Kimco Realty,KIM,0.0002,21.16,Kimco Realty Corporation,14620758298.0,2094828000.0,723979000.0,563421000.0,0.83,474477000.0,Real Estate,REIT - Retail,Kimco Realty Corporation
432,FactSet,FDS,0.0002,376.21,FactSet Research Systems Inc.,10952244360.0,2287034000.0,698840000.0,532920000.0,13.85,576522000.0,Financial Services,Financial Data & Stock Exchanges,FactSet Research Systems Inc.
433,Everest Group,EG,0.0002,336.53,"Everest Group, Ltd.",14642822321.0,17675000000.0,1046000000.0,806000000.0,19.18,4525000000.0,Financial Services,Insurance - Reinsurance,"Everest Group, Ltd."
434,"J,B, Hunt",JBHT,0.0002,143.74,"J.B. Hunt Transport Services, Inc.",13015631323.0,12064092000.0,807101000.0,553884000.0,5.5,797748000.0,Industrials,Integrated Freight & Logistics,"J.B. Hunt Transport Services, Inc."
435,Avery Dennison,AVY,0.0002,177.25,Avery Dennison Corporation,12535541236.0,8737900000.0,1120800000.0,711000000.0,8.92,618000000.0,Consumer Cyclical,Packaging & Containers,Avery Dennison Corporation
436,CF Industries,CF,0.0002,85.16,"CF Industries Holdings, Inc.",14922568344.0,6447000000.0,1897000000.0,1302000000.0,7.65,1800000000.0,Basic Materials,Agricultural Inputs,"CF Industries Holdings, Inc."
437,Franklin Resources,BEN,0.0002,25.62,"Franklin Resources, Inc.",12081678703.0,8638200000.0,368000000.0,322600000.0,0.52,1451900000.0,Financial Services,Asset Management,"Franklin Resources, Inc."
438,Centene Corporation,CNC,0.0002,26.91,Centene Corporation,17120896380.0,178190000000.0,1916000000.0,2054000000.0,4.1,1080000000.0,Healthcare,Healthcare Plans,Centene Corporation
439,Regency Centers,REG,0.0002,71.13,Regency Centers Corporation,12984693017.0,1494562000.0,551547000.0,389904000.0,2.13,441434000.0,Real Estate,REIT - Retail,Regency Centers Corporation
440,Fox Corporation (Class B),FOX,0.0002,54.44,Fox Corporation,25157073850.0,16300000000.0,2879000000.0,2263000000.0,4.91,2993000000.0,Communication Services,Entertainment,Fox Corporation
441,Alexandria Real Estate Equities,ARE,0.0002,74.36,"Alexandria Real Estate Equities, Inc.",14500896160.0,3100750000.0,515476000.0,-21458000.0,-0.13,462256000.0,Real Estate,REIT - Office,"Alexandria Real Estate Equities, Inc."
442,Solventum,SOLV,0.0002,72.96,Solventum Corporation,12374687286.0,8388000000.0,777000000.0,380000000.0,2.17,147000000.0,Healthcare,Medical Instruments & Supplies,Solventum Corporation
443,"UDR, Inc,",UDR,0.0002,38.18,"UDR, Inc.",12319488673.0,1690235000.0,335728000.0,127135000.0,0.38,562866000.0,Real Estate,REIT - Residential,"UDR, Inc."
444,Fox Corporation (Class A),FOXA,0.0002,59.82,Fox Corporation,27245100232.0,16300000000.0,2879000000.0,2263000000.0,4.91,2993000000.0,Communication Services,Entertainment,Fox Corporation
445,IDEX Corporation,IEX,0.0002,166.61,IDEX Corporation,12147603273.0,3340800000.0,667200000.0,469400000.0,6.19,587000000.0,Industrials,Specialty Industrial Machinery,IDEX Corporation
446,Baxter International,BAX,0.0002,24.37,Baxter International Inc.,11289390921.0,10887000000.0,-31000000.0,-155000000.0,-0.3,333000000.0,Healthcare,Medical Instruments & Supplies,Baxter International Inc.
447,Viatris,VTRS,0.0002,10.69,Viatris Inc.,11099102649.0,14115700000.0,-2603100000.0,-3468300000.0,-2.9,1765700000.0,Healthcare,Drug Manufacturers - Specialty & Generic,Viatris Inc.
448,Paycom,PAYC,0.0002,218.79,"Paycom Software, Inc.",12236661919.0,1959907000.0,550746000.0,415743000.0,7.4,359190000.0,Technology,Software - Application,"Paycom Software, Inc."
449,Nordson Corporation,NDSN,0.0002,216.71,Nordson Corporation,12755846185.0,2784349000.0,676356000.0,455008000.0,7.96,543336000.0,Industrials,Specialty Industrial Machinery,Nordson Corporation
450,Pool Corporation,POOL,0.0002,328.1,Pool Corporation,11414085927.0,5276414000.0,587211000.0,410804000.0,10.86,433602000.0,Industrials,Industrial Distribution,Pool Corporation
451,"J,M, Smucker Company (The)",SJM,0.0002,111.51,The J. M. Smucker Company,11651086324.0,8714300000.0,-977800000.0,-1459700000.0,-13.71,685400000.0,Consumer Defensive,Packaged Foods,The J. M. Smucker Company
452,Healthpeak Properties,DOC,0.0002,17.08,"Healthpeak Properties, Inc.",13161850200.0,2795622000.0,460551000.0,163996000.0,0.23,680754000.0,Real Estate,REIT - Healthcare Facilities,"Healthpeak Properties, Inc."
453,Jack Henry & Associates,JKHY,0.0002,159.92,"Jack Henry & Associates, Inc.",10885527491.0,2375288000.0,568715000.0,455748000.0,6.24,415704000.0,Technology,Information Technology Services,"Jack Henry & Associates, Inc."
454,Generac,GNRC,0.0002,197.51,Generac Holdings Inc.,9873402275.0,4411654000.0,562065000.0,348824000.0,6.01,511592000.0,Industrials,Specialty Industrial Machinery,Generac Holdings Inc.
455,Stanley Black & Decker,SWK,0.0002,74.47,"Stanley Black & Decker, Inc.",11431407441.0,15161600000.0,937600000.0,478300000.0,3.16,413600000.0,Industrials,Tools & Accessories,"Stanley Black & Decker, Inc."
456,Wynn Resorts,WYNN,0.0002,110.76,"Wynn Resorts, Limited",13409853203.0,6970314000.0,1033321000.0,383884000.0,3.37,742945000.0,Consumer Cyclical,Resorts & Casinos,"Wynn Resorts, Limited"
457,Universal Health Services,UHS,0.0002,178.91,"Universal Health Services, Inc.",12782588894.0,16460285000.0,1811749000.0,1261009000.0,18.97,901523000.0,Healthcare,Medical Care Facilities,"Universal Health Services, Inc."
458,Camden Property Trust,CPT,0.0002,105.93,Camden Property Trust,11433241789.0,1585409000.0,341588000.0,155979000.0,1.43,138884000.0,Real Estate,REIT - Residential,Camden Property Trust
459,Hasbro,HAS,0.0002,80.43,"Hasbro, Inc.",10600177699.0,4250800000.0,-227800000.0,-568300000.0,-4.06,500200000.0,Consumer Cyclical,Leisure,"Hasbro, Inc."
460,News Corp (Class A),NWSA,0.0002,29.79,News Corporation,17725063146.0,8452000000.0,824000000.0,1180000000.0,2.07,727000000.0,Communication Services,Entertainment,News Corporation
461,Globe Life,GL,0.0002,137.97,Globe Life Inc.,11709871164.0,5883393000.0,1455715000.0,1065502000.0,12.51,1348336000.0,Financial Services,Insurance - Life,Globe Life Inc.
462,Skyworks Solutions,SWKS,0.0002,74.59,"Skyworks Solutions, Inc.",11801475932.0,4011700000.0,448400000.0,396200000.0,2.5,1355100000.0,Technology,Semiconductors,"Skyworks Solutions, Inc."
463,Norwegian Cruise Line Holdings,NCLH,0.0002,24.34,Norwegian Cruise Line Holdings Ltd.,11321218163.0,9560994000.0,1530729000.0,719165000.0,1.45,-504477000.0,Consumer Cyclical,Travel Services,Norwegian Cruise Line Holdings Ltd.
464,Host Hotels & Resorts,HST,0.0002,15.98,"Host Hotels & Resorts, Inc.",12066377509.0,5927000000.0,854000000.0,659000000.0,0.94,1099000000.0,Real Estate,REIT - Hotel & Motel,"Host Hotels & Resorts, Inc."
465,Pinnacle West,PNW,0.0002,91.87,Pinnacle West Capital Corporation,10361507689.0,5255240000.0,996298000.0,576059000.0,4.83,-518782000.0,Utilities,Utilities - Regulated Electric,Pinnacle West Capital Corporation
466,Assurant,AIZ,0.0002,212.67,"Assurant, Inc.",10880015076.0,12304900000.0,981200000.0,717000000.0,13.8,968800000.0,Financial Services,Insurance - Property & Casualty,"Assurant, Inc."
467,Akamai Technologies,AKAM,0.0002,74.25,"Akamai Technologies, Inc.",10904469404.0,4083251000.0,524741000.0,424601000.0,2.82,678914000.0,Technology,Software - Infrastructure,"Akamai Technologies, Inc."
468,Huntington Ingalls Industries,HII,0.0002,267.84,"Huntington Ingalls Industries, Inc.",10939110704.0,11569000000.0,516000000.0,525000000.0,13.36,681000000.0,Industrials,Aerospace & Defense,"Huntington Ingalls Industries, Inc."
469,Revvity,RVTY,0.0002,89.43,"Revvity, Inc.",9757061075.0,2798467000.0,379891000.0,285197000.0,2.36,502965000.0,Healthcare,Diagnostics & Research,"Revvity, Inc."
471,Align Technology,ALGN,0.0002,143.07,"Align Technology, Inc.",9147054778.0,3964802000.0,600580000.0,437608000.0,5.93,631537000.0,Healthcare,Medical Instruments & Supplies,"Align Technology, Inc."
472,Moderna,MRNA,0.0002,26.63,"Moderna, Inc.",9528563249.0,3078000000.0,-3273000000.0,-2903000000.0,-7.53,-3500000000.0,Healthcare,Biotechnology,"Moderna, Inc."
473,"BXP, Inc,",BXP,0.0002,65.01,"BXP, Inc.",11849656032.0,3451470000.0,1028026000.0,4928000.0,0.03,49737000.0,Real Estate,REIT - Office,"BXP, Inc."
474,Mosaic Company (The),MOS,0.0002,32.07,The Mosaic Company,11209802474.0,11253400000.0,798200000.0,940000000.0,2.95,4300000.0,Basic Materials,Agricultural Inputs,The Mosaic Company
475,"A, O, Smith",AOS,0.0002,72.36,A. O. Smith Corporation,10152387564.0,3790200000.0,687800000.0,518600000.0,3.6,494600000.0,Industrials,Specialty Industrial Machinery,A. O. Smith Corporation
476,Molson Coors Beverage Company,TAP,0.0002,51.22,Molson Coors Beverage Company,9145287543.0,11283200000.0,1595200000.0,1037300000.0,5.07,979400000.0,Consumer Defensive,Beverages - Brewers,Molson Coors Beverage Company
477,MGM Resorts,MGM,0.0002,36.15,MGM Resorts International,9690001095.0,17211652000.0,1414425000.0,539515000.0,1.82,1306774000.0,Consumer Cyclical,Resorts & Casinos,MGM Resorts International
478,Paramount Skydance Corp,PSKY,0.0002,14.31,Paramount Skydance Corporation,12685977891.0,28756000000.0,1244000000.0,-14000000.0,-0.02,507000000.0,Communication Services,Entertainment,Paramount Skydance Corporation
479,Campbell Soup Company,CPB,0.0002,32.34,The Campbell's Company,9559850875.0,10253000000.0,1124000000.0,602000000.0,2.01,705000000.0,Consumer Defensive,Packaged Foods,The Campbell's Company
480,DaVita,DVA,0.0002,133.94,DaVita Inc.,9352200000.0,13161328000.0,2050019000.0,836271000.0,10.15,1288221000.0,Healthcare,Medical Care Facilities,DaVita Inc.
481,Albemarle Corporation,ALB,0.0002,81.27,Albemarle Corporation,10367866309.0,4993278000.0,-1037140000.0,-1096204000.0,-9.32,-128851000.0,Basic Materials,Specialty Chemicals,Albemarle Corporation
482,Invesco,IVZ,0.0002,21.26,Invesco Ltd.,10132296923.0,6153100000.0,903700000.0,29400000.0,0.93,1156300000.0,Financial Services,Asset Management,Invesco Ltd.
483,Interpublic Group of Companies (The),IPG,0.0002,25.88,"The Interpublic Group of Companies, Inc.",9651119377.0,10345200000.0,902500000.0,441700000.0,1.18,839700000.0,Communication Services,Advertising Agencies,"The Interpublic Group of Companies, Inc."
484,Match Group,MTCH,0.0002,38.83,"Match Group, Inc.",8720146607.0,3450576000.0,800562000.0,537812000.0,2.03,907640000.0,Communication Services,Internet Content & Information,"Match Group, Inc."
485,Conagra Brands,CAG,0.0002,19.4,"Conagra Brands, Inc.",8695609534.0,11612800000.0,1420000000.0,1152400000.0,2.4,1306000000.0,Consumer Defensive,Packaged Foods,"Conagra Brands, Inc."
486,AES Corporation,AES,0.0002,12.91,The AES Corporation,9427536227.0,12032000000.0,1370000000.0,1013000000.0,1.42,-2551000000.0,Utilities,Utilities - Diversified,The AES Corporation
487,EPAM Systems,EPAM,0.0002,160.21,"EPAM Systems, Inc.",8457018663.0,5071013000.0,539297000.0,401153000.0,7.01,409728000.0,Technology,Information Technology Services,"EPAM Systems, Inc."
488,CarMax,KMX,0.0001,57.94,"CarMax, Inc.",6732229920.0,26367719000.0,810740000.0,521066000.0,3.42,685593000.0,Consumer Cyclical,Auto & Truck Dealerships,"CarMax, Inc."
489,Molina Healthcare,MOH,0.0001,159.02,"Molina Healthcare, Inc.",10405316000.0,43413000000.0,1653000000.0,1130000000.0,20.3,427000000.0,Healthcare,Healthcare Plans,"Molina Healthcare, Inc."
490,Dayforce,DAY,0.0001,53.55,Dayforce Inc.,10996493446.0,1851700000.0,122600000.0,49000000.0,0.29,224200000.0,Technology,Software - Application,Dayforce Inc
491,Bio-Techne,TECH,0.0001,53.62,Bio-Techne Corporation,8167127966.0,1219635000.0,102255000.0,73400000.0,0.46,256550000.0,Healthcare,Biotechnology,Bio-Techne Corporation
492,Henry Schein,HSIC,0.0001,67.91,"Henry Schein, Inc.",8010990372.0,12773000000.0,638000000.0,389000000.0,3.11,334000000.0,Healthcare,Medical Distribution,"Henry Schein, Inc."
493,LKQ Corporation,LKQ,0.0001,31.58,LKQ Corporation,7795983718.0,14046000000.0,1180000000.0,708000000.0,2.74,676000000.0,Consumer Cyclical,Auto Parts,LKQ Corporation
494,Federal Realty Investment Trust,FRT,0.0001,93.55,Federal Realty Investment Trust,8585204660.0,1235754000.0,446596000.0,338142000.0,3.94,165690000.0,Real Estate,REIT - Retail,Federal Realty Investment Trust
495,Mohawk Industries,MHK,0.0001,128.66,"Mohawk Industries, Inc.",7989542435.0,10684100000.0,618800000.0,474300000.0,7.52,481100000.0,Consumer Cyclical,"Furnishings, Fixtures & Appliances","Mohawk Industries, Inc."
496,Lamb Weston,LW,0.0001,54.5,"Lamb Weston Holdings, Inc.",7695167859.0,6451300000.0,665100000.0,357200000.0,2.5,230100000.0,Consumer Defensive,Packaged Foods,"Lamb Weston Holdings, Inc."
497,Eastman Chemical Company,EMN,0.0001,66.13,Eastman Chemical Company,7201140557.0,9286000000.0,1267000000.0,832000000.0,7.11,409000000.0,Basic Materials,Specialty Chemicals,Eastman Chemical Company
498,Charles River Laboratories,CRL,0.0001,154.0,"Charles River Laboratories International, Inc.",7311258284.0,4028615000.0,124521000.0,-69225000.0,-1.28,578495000.0,Healthcare,Diagnostics & Research,"Charles River Laboratories International, Inc."
499,APA Corporation,APA,0.0001,20.48,APA Corporation,8833747697.0,10266000000.0,2151000000.0,1081000000.0,3.01,1570000000.0,Energy,Oil & Gas E&P,APA Corporation
500,MarketAxess,MKTX,0.0001,187.9,MarketAxess Holdings Inc.,6730710068.0,837157000.0,347277000.0,222842000.0,5.94,351789000.0,Financial Services,Capital Markets,MarketAxess Holdings Inc.
501,News Corp (Class B),NWS,0.0001,34.4,News Corporation,17725063145.0,8452000000.0,824000000.0,1180000000.0,0.84,727000000.0,Communication Services,Entertainment,News Corporation
502,Caesars Entertainment,CZR,0.0001,25.3,"Caesars Entertainment, Inc.",5624091215.0,11374000000.0,2327000000.0,-195000000.0,-0.92,622000000.0,Consumer Cyclical,Resorts & Casinos,"Caesars Entertainment, Inc."
503,Enphase Energy,ENPH,0.0001,31.94,"Enphase Energy, Inc.",4772403142.0,1482823000.0,173521000.0,174704000.0,1.28,373009000.0,Technology,Solar,"Enphase Energy, Inc."
